metric,base_time,base_index,best_time,best_index,max speedup
train_time,1.5135626792907717,CPara,0.0122075080871582,SIMDQPara,123.98621147611426
build_time,4.882418155670166,CPara,0.1119148731231689,CacheV2SIMDQPara,43.62617782085834
query_time,13.57954454421997,QPara,0.4358904361724853,SIMDQPara,31.153573047990523
